#Top: test   Floorplan: elab_constrs_1   Part: xc3s50antqg144-4
#Generated by: cse   on: Fri Jun 12 17:51:27 2015
#Build: PlanAhead v14.4   by: xbuild   on: Tue Dec 18 05:21:09 MST 2012

################################################################################
#INVALID / INCOMPLETE PINOUT
#There are 16 unassigned signals in this design. The last 16 rows of this file list these signals.
################################################################################

IO Bank,Pin Number,IOB Alias,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Trace Length (um),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,Pull Type
2,P70,PAD74,IO_L14P_2/D1,,,,,,,,,,,,,
2,P71,PAD76,IO_L13N_2/D0/DIN/MISO,,,,,,,,,,,,,
2,P72,PAD73,IO_L14N_2/CCLK,,,,,,,,,,,,,
3,P4,PAD144,IO_L01P_3,,,,,,,,,,,,,
3,P6,PAD143,IO_L01N_3,,,,,,,,,,,,,
3,P3,PAD142,IO_L02P_3,,,,,,,,,,,,,
3,P5,PAD141,IO_L02N_3,,,,,,,,,,,,,
3,P7,PAD140,IO_L03P_3,,,,,,,,,,,,,
3,P8,PAD139,IO_L03N_3,,,,,,,,,,,,,
3,P10,PAD136,IO_L04P_3,,,,,,,,,,,,,
3,P11,PAD135,IO_L04N_3/VREF_3,,,,,,,,,,,,,
3,P12,PAD134,IO_L05P_3/LHCLK0,,,,,,,,,,,,,
3,P13,PAD133,IO_L05N_3/LHCLK1,,,,,,,,,,,,,
3,P14,,VCCO_3,,,,,,,,,,,,,
3,P15,PAD132,IO_L06P_3/LHCLK2,,,,,,,,,,,,,
3,P16,PAD131,IO_L06N_3/IRDY2/LHCLK3,,,,,,,,,,,,,
3,P18,PAD128,IO_L07P_3/LHCLK4,,,,,,,,,,,,,
3,P20,PAD127,IO_L07N_3/LHCLK5,,,,,,,,,,,,,
3,P19,PAD126,IO_L08P_3/TRDY2/LHCLK6,,,,,,,,,,,,,
3,P21,PAD125,IO_L08N_3/LHCLK7,,,,,,,,,,,,,
3,P23,,VCCO_3,,,,,,,,,,,,,
3,P24,PAD124,IO_L09P_3,,,,,,,,,,,,,
3,P25,PAD123,IO_L09N_3,,,,,,,,,,,,,
3,P27,PAD120,IO_L10P_3,,,,,,,,,,,,,
3,P29,PAD119,IO_L10N_3,,,,,,,,,,,,,
3,P28,PAD118,IO_L11P_3,,,,,,,,,,,,,
3,P30,PAD117,IO_L11N_3,,,,,,,,,,,,,
3,P31,PAD116,IO_L12P_3,,,,,,,,,,,,,
3,P32,PAD115,IO_L12N_3,,,,,,,,,,,,,
3,P33,IPAD114,IP_L13P_3,,,,,,,,,,,,,
3,P35,IPAD113,IP_L13N_3/VREF_3,,,,,,,,,,,,,
,P2,,TDI,,,,,,,,,,,,,
,P1,,TMS,,,,,,,,,,,,,
,P9,,GND,,,,,,,,,,,,,
,P17,,GND,,,,,,,,,,,,,
,P22,,VCCINT,,,,,,,,,,,,,
,P26,,GND,,,,,,,,,,,,,
,P34,,GND,,,,,,,,,,,,,
,P36,,VCCAUX,,,,,,,,,,,,,
,P52,,VCCINT,,,,,,,,,,,,,
,P56,,GND,,,,,,,,,,,,,
,P65,,GND,,,,,,,,,,,,,
,P66,,VCCAUX,,,,,,,,,,,,,
,P73,,DONE,,,,,,,,,,,,,
,P74,,SUSPEND,,,,,,,,,,,,,
,P81,,GND,,,,,,,,,,,,,
,P89,,GND,,,,,,,,,,,,,
,P94,,VCCINT,,,,,,,,,,,,,
,P100,,GND,,,,,,,,,,,,,
,P106,,GND,,,,,,,,,,,,,
,P107,,TDO,,,,,,,,,,,,,
,P108,,VCCAUX,,,,,,,,,,,,,
,P109,,TCK,,,,,,,,,,,,,
,P118,,GND,,,,,,,,,,,,,
,P122,,VCCINT,,,,,,,,,,,,,
,P128,,GND,,,,,,,,,,,,,
,P133,,VCCAUX,,,,,,,,,,,,,
,P137,,GND,,,,,,,,,,,,,
,P144,,PROG_B,,,,,,,,,,,,,
,,,,,,,,,one[6],OUT,,,LVCMOS25,12,SLOW,
,,,,,,,,,one[5],OUT,,,LVCMOS25,12,SLOW,
,,,,,,,,,one[4],OUT,,,LVCMOS25,12,SLOW,
,,,,,,,,,one[3],OUT,,,LVCMOS25,12,SLOW,
,,,,,,,,,one[2],OUT,,,LVCMOS25,12,SLOW,
,,,,,,,,,one[1],OUT,,,LVCMOS25,12,SLOW,
,,,,,,,,,one[0],OUT,,,LVCMOS25,12,SLOW,
,,,,,,,,,ten[6],OUT,,,LVCMOS25,12,SLOW,
,,,,,,,,,ten[5],OUT,,,LVCMOS25,12,SLOW,
,,,,,,,,,ten[4],OUT,,,LVCMOS25,12,SLOW,
,,,,,,,,,ten[3],OUT,,,LVCMOS25,12,SLOW,
,,,,,,,,,ten[2],OUT,,,LVCMOS25,12,SLOW,
,,,,,,,,,ten[1],OUT,,,LVCMOS25,12,SLOW,
,,,,,,,,,ten[0],OUT,,,LVCMOS25,12,SLOW,
,,,,,,,,,reset,IN,,,LVCMOS25,12,SLOW,
,,,,,,,,,clk,IN,,,LVCMOS25,12,SLOW,
